BLD_YRS_FOR_GAS_D_LINE_1,BLD_YRS_FOR_GAS_D_LINE_2,BLD_YRS_FOR_GAS_D_LINE_3,BuildDirectionalGl
ID,UT,2001,0.0
ID,UT,2002,0.0
ID,UT,2003,0.0
ID,UT,2004,0.0
ID,UT,2005,0.0
ID,UT,2006,0.0
ID,UT,2007,0.0
ID,UT,2008,0.0
ID,UT,2009,0.0
ID,UT,2010,0.0
ID,UT,2011,0.0
ID,UT,2012,0.0
ID,UT,2013,0.0
ID,UT,2014,0.0
ID,UT,2015,0.0
ID,UT,2016,0.0
ID,UT,2017,0.0
ID,UT,2018,0.0
ID,UT,2019,0.0
ID,UT,2020,0.0
ID,UT,2021,0.0
ID,UT,2022,0.0
ID,WA,1990,1515057.0
ID,WA,1994,849303.0
ID,WA,1995,0.0
ID,WA,1996,0.0
ID,WA,1997,0.0
ID,WA,1998,76738.0
ID,WA,1999,0.0
ID,WA,2000,0.0
ID,WA,2001,0.0
ID,WA,2002,214659.0
ID,WA,2003,0.0
ID,WA,2004,0.0
ID,WA,2005,0.0
ID,WA,2006,0.0
ID,WA,2007,0.0
