GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
AZ,NM,20230119,0.0
AZ,NM,20230120,0.0
AZ,NM,20230121,0.0
AZ,NM,20230122,0.0
AZ,NM,20230123,0.0
AZ,NM,20230124,0.0
AZ,NM,20230125,0.0
AZ,NM,20230126,0.0
AZ,NM,20230127,0.0
AZ,NM,20230128,0.0
AZ,NM,20230129,0.0
AZ,NM,20230130,0.0
AZ,NM,20230131,0.0
AZ,NM,20230201,0.0
AZ,NM,20230202,0.0
AZ,NM,20230203,0.0
AZ,NM,20230204,0.0
AZ,NM,20230205,0.0
AZ,NM,20230206,0.0
AZ,NM,20230207,0.0
AZ,NM,20230208,0.0
AZ,NM,20230209,0.0
AZ,NM,20230210,0.0
AZ,NM,20230211,0.0
AZ,NM,20230212,0.0
AZ,NM,20230213,0.0
AZ,NM,20230214,0.0
AZ,NM,20230215,0.0
AZ,NM,20230216,0.0
AZ,NM,20230217,0.0
AZ,NM,20230218,0.0
AZ,NM,20230219,0.0
AZ,NM,20230220,0.0
AZ,NM,20230221,0.0
AZ,NM,20230222,0.0
AZ,NM,20230223,0.0
AZ,NM,20230224,0.0
AZ,NM,20230225,0.0
AZ,NM,20230226,0.0
AZ,NM,20230227,0.0
AZ,NM,20230228,0.0
AZ,NM,20230301,0.0
AZ,NM,20230302,0.0
AZ,NM,20230303,0.0
AZ,NM,20230304,0.0
AZ,NM,20230305,0.0
AZ,NM,20230306,0.0
AZ,NM,20230307,0.0
AZ,NM,20230308,0.0
AZ,NM,20230309,0.0
AZ,NM,20230310,0.0
AZ,NM,20230311,0.0
AZ,NM,20230312,0.0
AZ,NM,20230313,0.0
AZ,NM,20230314,0.0
AZ,NM,20230315,0.0
AZ,NM,20230316,0.0
AZ,NM,20230317,0.0
AZ,NM,20230318,0.0
AZ,NM,20230319,0.0
AZ,NM,20230320,0.0
AZ,NM,20230321,0.0
AZ,NM,20230322,0.0
AZ,NM,20230323,0.0
AZ,NM,20230324,0.0
AZ,NM,20230325,0.0
AZ,NM,20230326,0.0
AZ,NM,20230327,0.0
AZ,NM,20230328,0.0
AZ,NM,20230329,0.0
AZ,NM,20230330,0.0
AZ,NM,20230331,0.0
AZ,NM,20230401,0.0
AZ,NM,20230402,0.0
AZ,NM,20230403,0.0
AZ,NM,20230404,0.0
AZ,NM,20230405,0.0
AZ,NM,20230406,0.0
