GAS_ZONES,DRILL_TYPE,gas_well_predet_build_year,gas_well_predet_num,gas_well_total_num
NM,V,1998,120,18056
NM,D,2012,9,5650
NM,H,2012,169,109793
NM,V,2012,32,20975
NM,D,2013,0,5650
NM,H,2013,0,109793
NM,V,2013,0,20975
NM,D,2014,5,5655
NM,H,2014,101,109893
NM,V,2014,19,20994
NM,D,2015,14,5669
NM,H,2015,269,110162
NM,V,2015,51,21046
NM,D,2016,0,5669
NM,H,2016,0,110162
NM,V,2016,0,21046
NM,D,2017,0,5669
NM,H,2017,0,110162
NM,V,2017,0,21046
NM,D,2018,0,5669
NM,H,2018,0,110162
NM,V,2018,0,21046
NM,D,2019,0,5669
NM,H,2019,0,110162
NM,V,2019,0,21046
NM,D,2020,0,5669
NM,H,2020,0,110162
NM,V,2020,0,21046
NM,D,2008,66,5619
NM,H,2008,1285,109187
NM,V,2008,246,20859
NM,D,2009,22,5642
NM,H,2009,437,109624
NM,V,2009,83,20943
NM,D,2010,0,5642
NM,H,2010,0,109624
NM,V,2010,0,20943
NM,D,2011,0,5642
NM,H,2011,0,109624
NM,V,2011,0,20943
NV,H,2020,0,104348
NY,V,1995,127,70585
NY,H,1995,123,68759
NY,V,1996,37,70622
NY,H,1996,37,68796
NY,V,1997,0,70622
NY,H,1997,0,68796
NY,V,1998,87,70710
NY,H,1998,85,68880
NY,V,1999,263,70973
NY,H,1999,256,69136
NY,V,2000,0,70973
NY,H,2000,0,69136
NY,V,2001,70,71042
NY,H,2001,68,69205
NY,V,2002,295,71338
NY,H,2002,288,69492
NY,V,2003,0,71338
NY,H,2003,0,69492
NY,V,1989,754,70089
NY,H,1989,734,68276
NY,V,1990,112,70201
NY,H,1990,109,68385
NY,V,1991,107,70308
NY,H,1991,105,68490
NY,V,1992,86,70394
NY,H,1992,83,68573
NY,V,1993,0,70394
NY,H,1993,0,68573
NY,V,1994,64,70458
NY,H,1994,63,68636
NY,V,2009,0,71961
NY,H,2009,0,70100
NY,V,2010,55,72016
NY,H,2010,53,70153
NY,V,2011,322,72338
NY,H,2011,314,70467
NY,V,2012,182,72520
NY,H,2012,177,70644
NY,V,2013,0,72520
NY,H,2013,0,70644
NY,V,2014,33,72553
NY,H,2014,33,70677
NY,V,2015,0,72553
NY,H,2015,0,70677
NY,V,2016,10,72563
NY,H,2016,9,70686
NY,V,2004,0,71338
NY,H,2004,0,69492
NY,V,2005,0,71338
NY,H,2005,0,69492
NY,V,2006,272,71609
NY,H,2006,264,69757
NY,V,2007,352,71961
NY,H,2007,343,70100
NY,V,2008,0,71961
NY,H,2008,0,70100
NY,V,2017,0,72563
NY,H,2017,0,70686
NY,V,2018,0,72563
NY,H,2018,0,70686
NY,V,2019,0,72563
NY,H,2019,0,70686
NY,V,2020,0,72563
NY,H,2020,0,70686
OH,V,1990,136,168322
OH,V,1991,174,168496
OH,V,1989,23389,168186
OH,V,1994,0,168520
OH,V,1995,0,168520
OH,V,1992,24,168520
OH,V,1993,0,168520
OH,V,2001,20,168540
OH,V,2002,676,169216
OH,V,2003,0,169216
OH,V,2004,0,169216
OH,V,2005,0,169216
OH,V,2006,210,169426
OH,V,2007,471,169897
OH,V,2008,0,169897
OH,V,1996,0,168520
